"","icc","FeatureName"
"97",0.981030581005111,"original_gldm_LargeDependenceHighGrayLevelEmphasis"
"98",0.997871030052575,"original_gldm_LargeDependenceLowGrayLevelEmphasis"
"99",0.984203249000358,"original_gldm_LowGrayLevelEmphasis"
"100",0.983750159498061,"original_gldm_SmallDependenceEmphasis"
"101",0.989979920786138,"original_gldm_SmallDependenceHighGrayLevelEmphasis"
"102",0.950452634335201,"original_gldm_SmallDependenceLowGrayLevelEmphasis"
"103",0.996032021180201,"original_ngtdm_Busyness"
"104",0.994216538797494,"original_ngtdm_Coarseness"
"105",0.999184712673874,"original_ngtdm_Complexity"
"106",0.973975107748514,"original_ngtdm_Contrast"
"107",0.987511157219222,"original_ngtdm_Strength"
"108",0.992214620983211,"wavelet.LLH_firstorder_10Percentile"
"109",0.936967882526828,"wavelet.LLH_firstorder_90Percentile"
"110",0.996439790138879,"wavelet.LLH_firstorder_Energy"
"111",0.993448721539768,"wavelet.LLH_firstorder_Entropy"
"112",0.994484321610468,"wavelet.LLH_firstorder_InterquartileRange"
"113",0.927902887654002,"wavelet.LLH_firstorder_Kurtosis"
"114",0.999999999999997,"wavelet.LLH_firstorder_Maximum"
"115",0.973049072777769,"wavelet.LLH_firstorder_MeanAbsoluteDeviation"
"116",0.950458242415606,"wavelet.LLH_firstorder_Mean"
"117",0.918237852357289,"wavelet.LLH_firstorder_Median"
"118",0.799715662319687,"wavelet.LLH_firstorder_Minimum"
"119",0.959138762945965,"wavelet.LLH_firstorder_Range"
"120",0.994407738639829,"wavelet.LLH_firstorder_RobustMeanAbsoluteDeviation"
"121",0.937563412528682,"wavelet.LLH_firstorder_RootMeanSquared"
"122",0.974006090558854,"wavelet.LLH_firstorder_Skewness"
"123",0.996439790143936,"wavelet.LLH_firstorder_TotalEnergy"
"124",0.994962303149545,"wavelet.LLH_firstorder_Uniformity"
"125",0.965085802484686,"wavelet.LLH_firstorder_Variance"
"126",0.741124600878161,"wavelet.LLH_glcm_Autocorrelation"
"127",0.985682501865013,"wavelet.LLH_glcm_ClusterProminence"
"128",0.9861288599372,"wavelet.LLH_glcm_ClusterShade"
